REQUEST_ID,PICKUP_POINT,DRIVER_ID,STATUS,REQUEST_TIMESTAMP,DROP_TIMESTAMP,REQUEST_HOUR,REQUEST_DAY,TIME_SLOT
1769,City,8,Trip Completed,07-12-2016 08:57,07-12-2016 09:24,8,07-12-2016,Morning
2520,City,8,Trip Completed,07-12-2016 21:05,07-12-2016 22:20,21,07-12-2016,Night
449,Airport,9,Trip Completed,07-11-2016 09:08,07-11-2016 09:52,9,07-11-2016,Morning
846,Airport,9,Trip Completed,07-11-2016 17:46,07-11-2016 18:52,17,07-11-2016,Evening
1346,Airport,9,Trip Completed,07-11-2016 23:39,07-12-2016 00:23,23,07-11-2016,Night
1474,Airport,9,Trip Completed,07-12-2016 05:13,07-12-2016 05:56,5,07-12-2016,Morning
2240,City,9,Trip Completed,07-12-2016 18:20,07-12-2016 18:54,18,07-12-2016,Evening
1809,Airport,10,Trip Completed,07-12-2016 09:13,07-12-2016 10:01,9,07-12-2016,Morning
2064,Airport,10,Trip Completed,07-12-2016 15:08,07-12-2016 16:14,15,07-12-2016,Afternoon
2030,City,11,Trip Completed,07-12-2016 14:11,07-12-2016 15:02,14,07-12-2016,Afternoon
45,Airport,12,Trip Completed,07-11-2016 03:17,07-11-2016 04:09,3,07-11-2016,Late Night
264,City,12,Trip Completed,07-11-2016 06:51,07-11-2016 07:40,6,07-11-2016,Morning
1183,City,12,Trip Completed,07-11-2016 21:05,07-11-2016 21:38,21,07-11-2016,Night
1536,Airport,12,Trip Completed,07-12-2016 05:59,07-12-2016 06:59,5,07-12-2016,Morning
2437,City,12,Trip Completed,07-12-2016 20:18,07-12-2016 21:26,20,07-12-2016,Evening
2641,Airport,12,Trip Completed,07-12-2016 22:28,07-12-2016 23:05,22,07-12-2016,Night
155,City,13,Trip Completed,07-11-2016 05:32,07-11-2016 06:28,5,07-11-2016,Morning
310,Airport,13,Trip Completed,07-11-2016 07:24,07-11-2016 08:28,7,07-11-2016,Morning
607,City,13,Trip Completed,07-11-2016 11:51,07-11-2016 12:42,11,07-11-2016,Afternoon
1012,City,13,Trip Completed,07-11-2016 19:15,07-11-2016 19:57,19,07-11-2016,Evening
1696,Airport,13,Trip Completed,07-12-2016 08:01,07-12-2016 08:42,8,07-12-2016,Morning
139,Airport,14,Trip Completed,07-11-2016 05:21,07-11-2016 06:09,5,07-11-2016,Morning
215,City,14,Trip Completed,07-11-2016 06:15,07-11-2016 07:07,6,07-11-2016,Morning
1816,City,14,Trip Completed,07-12-2016 09:24,07-12-2016 10:07,9,07-12-2016,Morning
2505,Airport,14,Trip Completed,07-12-2016 21:03,07-12-2016 22:14,21,07-12-2016,Night
1027,Airport,15,Trip Completed,07-11-2016 19:18,07-11-2016 20:24,19,07-11-2016,Evening
2675,Airport,15,Trip Completed,07-12-2016 23:43,13-07-2016 00:35,23,07-12-2016,Night
591,City,16,Trip Completed,07-11-2016 11:25,07-11-2016 12:31,11,07-11-2016,Afternoon
709,City,16,Trip Completed,07-11-2016 14:16,07-11-2016 15:03,14,07-11-2016,Afternoon
1167,Airport,16,Trip Completed,07-11-2016 20:50,07-11-2016 21:52,20,07-11-2016,Evening
2661,Airport,16,Trip Completed,07-12-2016 23:23,13-07-2016 00:27,23,07-12-2016,Night
634,City,17,Trip Completed,07-11-2016 12:25,07-11-2016 13:06,12,07-11-2016,Afternoon
939,Airport,17,Trip Completed,07-11-2016 18:25,07-11-2016 19:26,18,07-11-2016,Evening
2628,Airport,17,Trip Completed,07-12-2016 22:10,07-12-2016 23:25,22,07-12-2016,Night
499,City,18,Trip Completed,07-11-2016 09:39,07-11-2016 10:16,9,07-11-2016,Morning
1147,Airport,18,Trip Completed,07-11-2016 20:42,07-11-2016 21:18,20,07-11-2016,Evening
1410,Airport,18,Trip Completed,07-12-2016 03:14,07-12-2016 04:27,3,07-12-2016,Late Night
1804,Airport,18,Trip Completed,07-12-2016 09:12,07-12-2016 09:57,9,07-12-2016,Morning
1949,Airport,18,Trip Completed,07-12-2016 11:32,07-12-2016 12:13,11,07-12-2016,Afternoon
494,City,19,Trip Completed,07-11-2016 09:36,07-11-2016 10:02,9,07-11-2016,Morning
1485,City,19,Trip Completed,07-12-2016 05:21,07-12-2016 06:35,5,07-12-2016,Morning
2042,City,19,Trip Completed,07-12-2016 14:30,07-12-2016 15:09,14,07-12-2016,Afternoon
2561,Airport,19,Trip Completed,07-12-2016 21:29,07-12-2016 22:44,21,07-12-2016,Night
468,City,20,Trip Completed,07-11-2016 09:20,07-11-2016 10:05,9,07-11-2016,Morning
693,Airport,20,Trip Completed,07-11-2016 13:51,07-11-2016 15:01,13,07-11-2016,Afternoon
1178,City,20,Trip Completed,07-11-2016 21:05,07-11-2016 22:06,21,07-11-2016,Night
2103,City,20,Trip Completed,07-12-2016 16:08,07-12-2016 17:18,16,07-12-2016,Afternoon
2292,Airport,20,Trip Completed,07-12-2016 18:46,07-12-2016 19:23,18,07-12-2016,Evening
1895,City,21,Trip Completed,07-12-2016 10:20,07-12-2016 10:52,10,07-12-2016,Afternoon
1981,Airport,21,Trip Completed,07-12-2016 12:23,07-12-2016 12:56,12,07-12-2016,Afternoon
110,City,22,Trip Completed,07-11-2016 05:05,07-11-2016 06:06,5,07-11-2016,Morning
362,City,22,Trip Completed,07-11-2016 08:01,07-11-2016 09:18,8,07-11-2016,Morning
666,Airport,22,Trip Completed,07-11-2016 13:02,07-11-2016 13:45,13,07-11-2016,Afternoon
926,City,22,Trip Completed,07-11-2016 18:28,07-11-2016 19:34,18,07-11-2016,Evening
1180,Airport,22,Trip Completed,07-11-2016 21:01,07-11-2016 22:14,21,07-11-2016,Night
1900,City,22,Trip Completed,07-12-2016 10:32,07-12-2016 11:42,10,07-12-2016,Afternoon
2506,City,22,Trip Completed,07-12-2016 21:01,07-12-2016 21:38,21,07-12-2016,Night
523,Airport,23,Trip Completed,07-11-2016 09:48,07-11-2016 10:37,9,07-11-2016,Morning
747,City,23,Trip Completed,07-11-2016 15:53,07-11-2016 16:43,15,07-11-2016,Afternoon
1371,Airport,23,Trip Completed,07-12-2016 00:22,07-12-2016 01:33,0,07-12-2016,Late Night
1553,City,23,Trip Completed,07-12-2016 06:09,07-12-2016 07:09,6,07-12-2016,Morning
1692,Airport,23,Trip Completed,07-12-2016 07:52,07-12-2016 09:01,7,07-12-2016,Morning
2114,City,23,Trip Completed,07-12-2016 16:36,07-12-2016 17:21,16,07-12-2016,Afternoon
357,Airport,24,Trip Completed,07-11-2016 08:00,07-11-2016 09:08,8,07-11-2016,Morning
1068,City,24,Trip Completed,07-11-2016 19:52,07-11-2016 20:48,19,07-11-2016,Evening
773,City,25,Trip Completed,07-11-2016 16:23,07-11-2016 17:21,16,07-11-2016,Afternoon
1123,City,25,Trip Completed,07-11-2016 20:20,07-11-2016 21:18,20,07-11-2016,Evening
2667,Airport,25,Trip Completed,07-12-2016 23:35,13-07-2016 00:40,23,07-12-2016,Night
322,City,26,Trip Completed,07-11-2016 07:31,07-11-2016 08:10,7,07-11-2016,Morning
793,City,26,Trip Completed,07-11-2016 17:04,07-11-2016 18:06,17,07-11-2016,Evening
898,Airport,26,Trip Completed,07-11-2016 18:14,07-11-2016 19:09,18,07-11-2016,Evening
1258,City,26,Trip Completed,07-11-2016 21:51,07-11-2016 23:00,21,07-11-2016,Night
204,City,27,Trip Completed,07-11-2016 06:04,07-11-2016 06:44,6,07-11-2016,Morning
632,Airport,27,Trip Completed,07-11-2016 12:20,07-11-2016 13:10,12,07-11-2016,Afternoon
763,City,27,Trip Completed,07-11-2016 16:19,07-11-2016 17:25,16,07-11-2016,Afternoon
1786,Airport,27,Trip Completed,07-12-2016 09:03,07-12-2016 09:58,9,07-12-2016,Morning
1968,City,27,Trip Completed,07-12-2016 12:10,07-12-2016 12:49,12,07-12-2016,Afternoon
2088,Airport,27,Trip Completed,07-12-2016 15:51,07-12-2016 17:02,15,07-12-2016,Afternoon
2473,Airport,27,Trip Completed,07-12-2016 20:43,07-12-2016 21:20,20,07-12-2016,Evening
84,City,28,Trip Completed,07-11-2016 04:50,07-11-2016 05:26,4,07-11-2016,Late Night
1199,City,28,Trip Completed,07-11-2016 21:17,07-11-2016 21:53,21,07-11-2016,Night
1676,Airport,28,Trip Completed,07-12-2016 07:44,07-12-2016 08:40,7,07-12-2016,Morning
1584,Airport,29,Trip Completed,07-12-2016 06:26,07-12-2016 07:18,6,07-12-2016,Morning
1966,Airport,29,Trip Completed,07-12-2016 12:05,07-12-2016 13:12,12,07-12-2016,Afternoon
517,Airport,30,Trip Completed,07-11-2016 09:45,07-11-2016 10:24,9,07-11-2016,Morning
1406,Airport,30,Trip Completed,07-12-2016 03:02,07-12-2016 03:55,3,07-12-2016,Late Night
1643,Airport,30,Trip Completed,07-12-2016 07:18,07-12-2016 08:10,7,07-12-2016,Morning
2108,Airport,30,Trip Completed,07-12-2016 16:14,07-12-2016 16:48,16,07-12-2016,Afternoon
2647,City,30,Trip Completed,07-12-2016 22:46,07-12-2016 23:18,22,07-12-2016,Night
629,Airport,31,Trip Completed,07-11-2016 12:14,07-11-2016 13:00,12,07-11-2016,Afternoon
745,Airport,31,Trip Completed,07-11-2016 15:48,07-11-2016 16:45,15,07-11-2016,Afternoon
1064,City,31,Trip Completed,07-11-2016 19:53,07-11-2016 20:31,19,07-11-2016,Evening
1886,Airport,31,Trip Completed,07-12-2016 10:10,07-12-2016 10:35,10,07-12-2016,Afternoon
2162,Airport,32,Trip Completed,07-12-2016 17:34,07-12-2016 18:33,17,07-12-2016,Evening
145,City,33,Trip Completed,07-11-2016 05:32,07-11-2016 06:37,5,07-11-2016,Morning
735,City,33,Trip Completed,07-11-2016 15:27,07-11-2016 16:32,15,07-11-2016,Afternoon
918,Airport,33,Trip Completed,07-11-2016 18:22,07-11-2016 19:04,18,07-11-2016,Evening
1478,City,33,Trip Completed,07-12-2016 05:16,07-12-2016 06:13,5,07-12-2016,Morning
1957,City,33,Trip Completed,07-12-2016 11:45,07-12-2016 12:55,11,07-12-2016,Afternoon
738,City,34,Trip Completed,07-11-2016 15:30,07-11-2016 16:44,15,07-11-2016,Afternoon
360,Airport,35,Trip Completed,07-11-2016 08:02,07-11-2016 09:05,8,07-11-2016,Morning
771,Airport,35,Trip Completed,07-11-2016 16:19,07-11-2016 17:34,16,07-11-2016,Afternoon
1274,City,35,Trip Completed,07-11-2016 22:01,07-11-2016 23:21,22,07-11-2016,Night
1501,City,35,Trip Completed,07-12-2016 05:41,07-12-2016 06:47,5,07-12-2016,Morning
1972,City,35,Trip Completed,07-12-2016 12:22,07-12-2016 12:43,12,07-12-2016,Afternoon
1104,Airport,36,Trip Completed,07-11-2016 20:17,07-11-2016 21:20,20,07-11-2016,Evening
1596,Airport,36,Trip Completed,07-12-2016 06:39,07-12-2016 07:30,6,07-12-2016,Morning
1835,Airport,36,Trip Completed,07-12-2016 09:35,07-12-2016 10:30,9,07-12-2016,Morning
2110,Airport,36,Trip Completed,07-12-2016 16:19,07-12-2016 17:12,16,07-12-2016,Afternoon
191,Airport,37,Trip Completed,07-11-2016 05:55,07-11-2016 06:45,5,07-11-2016,Morning
333,City,37,Trip Completed,07-11-2016 07:43,07-11-2016 08:53,7,07-11-2016,Morning
488,Airport,37,Trip Completed,07-11-2016 09:35,07-11-2016 10:20,9,07-11-2016,Morning
1780,City,37,Trip Completed,07-12-2016 08:58,07-12-2016 09:45,8,07-12-2016,Morning
2235,Airport,37,Trip Completed,07-12-2016 18:12,07-12-2016 19:14,18,07-12-2016,Evening
2516,City,37,Trip Completed,07-12-2016 21:05,07-12-2016 22:18,21,07-12-2016,Night
125,City,38,Trip Completed,07-11-2016 05:12,07-11-2016 06:17,5,07-11-2016,Morning
1611,City,38,Trip Completed,07-12-2016 06:49,07-12-2016 07:44,6,07-12-2016,Morning
1814,City,38,Trip Completed,07-12-2016 09:19,07-12-2016 09:59,9,07-12-2016,Morning
249,City,39,Trip Completed,07-11-2016 06:31,07-11-2016 07:14,6,07-11-2016,Morning
728,City,39,Trip Completed,07-11-2016 15:05,07-11-2016 16:09,15,07-11-2016,Afternoon
1353,Airport,40,Trip Completed,07-11-2016 23:51,07-12-2016 00:34,23,07-11-2016,Night
1568,City,40,Trip Completed,07-12-2016 06:18,07-12-2016 06:52,6,07-12-2016,Morning
2465,City,40,Trip Completed,07-12-2016 20:38,07-12-2016 21:37,20,07-12-2016,Evening
1941,Airport,41,Trip Completed,07-12-2016 11:29,07-12-2016 12:09,11,07-12-2016,Afternoon
238,City,42,Trip Completed,07-11-2016 06:27,07-11-2016 07:15,6,07-11-2016,Morning
2624,City,42,Trip Completed,07-12-2016 22:16,07-12-2016 23:17,22,07-12-2016,Night
128,City,43,Trip Completed,07-11-2016 05:12,07-11-2016 05:48,5,07-11-2016,Morning
627,City,43,Trip Completed,07-11-2016 12:12,07-11-2016 13:10,12,07-11-2016,Afternoon
1766,Airport,43,Trip Completed,07-12-2016 08:45,07-12-2016 09:52,8,07-12-2016,Morning
2089,City,43,Trip Completed,07-12-2016 15:49,07-12-2016 16:32,15,07-12-2016,Afternoon
118,Airport,44,Trip Completed,07-11-2016 05:11,07-11-2016 05:52,5,07-11-2016,Morning
339,Airport,44,Trip Completed,07-11-2016 07:49,07-11-2016 08:45,7,07-11-2016,Morning
766,City,44,Trip Completed,07-11-2016 16:23,07-11-2016 17:27,16,07-11-2016,Afternoon
1133,Airport,44,Trip Completed,07-11-2016 20:27,07-11-2016 21:31,20,07-11-2016,Evening
2458,City,44,Trip Completed,07-12-2016 20:33,07-12-2016 21:33,20,07-12-2016,Evening
1698,City,45,Trip Completed,07-12-2016 07:56,07-12-2016 08:56,7,07-12-2016,Morning
2098,City,45,Trip Completed,07-12-2016 16:12,07-12-2016 16:42,16,07-12-2016,Afternoon
635,Airport,46,Trip Completed,07-11-2016 12:25,07-11-2016 13:29,12,07-11-2016,Afternoon
1275,Airport,46,Trip Completed,07-11-2016 22:05,07-11-2016 23:02,22,07-11-2016,Night
1562,Airport,46,Trip Completed,07-12-2016 06:16,07-12-2016 07:15,6,07-12-2016,Morning
995,Airport,47,Trip Completed,07-11-2016 19:11,07-11-2016 19:33,19,07-11-2016,Evening
1771,City,47,Trip Completed,07-12-2016 08:56,07-12-2016 09:27,8,07-12-2016,Morning
443,City,48,Trip Completed,07-11-2016 09:05,07-11-2016 09:45,9,07-11-2016,Morning
1299,City,48,Trip Completed,07-11-2016 22:22,07-11-2016 23:06,22,07-11-2016,Night
1637,Airport,48,Trip Completed,07-12-2016 07:09,07-12-2016 08:15,7,07-12-2016,Morning
2099,Airport,48,Trip Completed,07-12-2016 16:03,07-12-2016 17:16,16,07-12-2016,Afternoon
2349,Airport,48,Trip Completed,07-12-2016 19:22,07-12-2016 20:07,19,07-12-2016,Evening
540,City,49,Trip Completed,07-11-2016 09:56,07-11-2016 10:52,9,07-11-2016,Morning
1533,City,49,Trip Completed,07-12-2016 05:56,07-12-2016 06:32,5,07-12-2016,Morning
2359,City,49,Trip Completed,07-12-2016 19:31,07-12-2016 20:28,19,07-12-2016,Evening
2603,City,49,Trip Completed,07-12-2016 22:00,07-12-2016 22:51,22,07-12-2016,Night
2481,City,50,Trip Completed,07-12-2016 20:40,07-12-2016 21:37,20,07-12-2016,Evening
686,City,51,Trip Completed,07-11-2016 13:44,07-11-2016 14:30,13,07-11-2016,Afternoon
777,Airport,51,Trip Completed,07-11-2016 16:41,07-11-2016 17:32,16,07-11-2016,Afternoon
1455,Airport,51,Trip Completed,07-12-2016 04:56,07-12-2016 05:27,4,07-12-2016,Late Night
1906,Airport,51,Trip Completed,07-12-2016 10:38,07-12-2016 11:22,10,07-12-2016,Afternoon
2432,Airport,51,Trip Completed,07-12-2016 20:15,07-12-2016 20:59,20,07-12-2016,Evening
64,City,52,Trip Completed,07-11-2016 04:16,07-11-2016 05:28,4,07-11-2016,Late Night
687,Airport,52,Trip Completed,07-11-2016 13:41,07-11-2016 14:25,13,07-11-2016,Afternoon
1625,City,52,Trip Completed,07-12-2016 07:01,07-12-2016 07:49,7,07-12-2016,Morning
1958,Airport,52,Trip Completed,07-12-2016 11:41,07-12-2016 12:35,11,07-12-2016,Afternoon
2160,Airport,52,Trip Completed,07-12-2016 17:32,07-12-2016 18:07,17,07-12-2016,Evening
2517,Airport,52,Trip Completed,07-12-2016 21:04,07-12-2016 22:20,21,07-12-2016,Night
313,City,53,Trip Completed,07-11-2016 07:26,07-11-2016 08:35,7,07-11-2016,Morning
2107,City,53,Trip Completed,07-12-2016 16:18,07-12-2016 17:14,16,07-12-2016,Afternoon
234,City,54,Trip Completed,07-11-2016 06:27,07-11-2016 07:23,6,07-11-2016,Morning
425,Airport,54,Trip Completed,07-11-2016 08:48,07-11-2016 09:34,8,07-11-2016,Morning
1528,City,54,Trip Completed,07-12-2016 05:58,07-12-2016 06:33,5,07-12-2016,Morning
1671,Airport,54,Trip Completed,07-12-2016 07:41,07-12-2016 08:50,7,07-12-2016,Morning
2223,City,54,Trip Completed,07-12-2016 18:07,07-12-2016 19:12,18,07-12-2016,Evening
531,City,55,Trip Completed,07-11-2016 10:01,07-11-2016 10:36,10,07-11-2016,Afternoon
1721,City,55,Trip Completed,07-12-2016 08:10,07-12-2016 08:47,8,07-12-2016,Morning
2665,Airport,55,Trip Completed,07-12-2016 23:30,13-07-2016 00:37,23,07-12-2016,Night
1914,Airport,56,Trip Completed,07-12-2016 10:42,07-12-2016 11:52,10,07-12-2016,Afternoon
614,City,57,Trip Completed,07-11-2016 11:49,07-11-2016 12:52,11,07-11-2016,Afternoon
1340,City,57,Trip Completed,07-11-2016 23:22,07-11-2016 23:55,23,07-11-2016,Night
1576,City,57,Trip Completed,07-12-2016 06:27,07-12-2016 07:41,6,07-12-2016,Morning
1974,Airport,57,Trip Completed,07-12-2016 12:19,07-12-2016 13:07,12,07-12-2016,Afternoon
2597,City,57,Trip Completed,07-12-2016 21:52,07-12-2016 22:54,21,07-12-2016,Night
660,Airport,58,Trip Completed,07-11-2016 12:55,07-11-2016 13:44,12,07-11-2016,Afternoon
943,Airport,58,Trip Completed,07-11-2016 18:34,07-11-2016 19:25,18,07-11-2016,Evening
1445,Airport,58,Trip Completed,07-12-2016 04:45,07-12-2016 06:02,4,07-12-2016,Late Night
172,Airport,59,Trip Completed,07-11-2016 05:41,07-11-2016 06:19,5,07-11-2016,Morning
518,City,59,Trip Completed,07-11-2016 09:46,07-11-2016 10:42,9,07-11-2016,Morning
843,Airport,59,Trip Completed,07-11-2016 17:38,07-11-2016 18:31,17,07-11-2016,Evening
1070,City,59,Trip Completed,07-11-2016 19:58,07-11-2016 20:58,19,07-11-2016,Evening
2078,Airport,59,Trip Completed,07-12-2016 15:36,07-12-2016 16:22,15,07-12-2016,Afternoon
620,City,60,Trip Completed,07-11-2016 12:04,07-11-2016 13:17,12,07-11-2016,Afternoon
1286,Airport,60,Trip Completed,07-11-2016 22:18,07-11-2016 22:59,22,07-11-2016,Night
2482,City,60,Trip Completed,07-12-2016 20:45,07-12-2016 21:42,20,07-12-2016,Evening
1349,Airport,61,Trip Completed,07-11-2016 23:41,07-12-2016 00:22,23,07-11-2016,Night
2192,Airport,61,Trip Completed,07-12-2016 17:44,07-12-2016 18:39,17,07-12-2016,Evening
2323,City,61,Trip Completed,07-12-2016 19:06,07-12-2016 20:17,19,07-12-2016,Evening
418,City,62,Trip Completed,07-11-2016 08:42,07-11-2016 09:24,8,07-11-2016,Morning
608,Airport,62,Trip Completed,07-11-2016 11:57,07-11-2016 12:48,11,07-11-2016,Afternoon
1842,City,62,Trip Completed,07-12-2016 09:40,07-12-2016 10:18,9,07-12-2016,Morning
121,Airport,63,Trip Completed,07-11-2016 05:13,07-11-2016 06:08,5,07-11-2016,Morning
571,Airport,63,Trip Completed,07-11-2016 10:44,07-11-2016 11:44,10,07-11-2016,Afternoon
2444,Airport,63,Trip Completed,07-12-2016 20:23,07-12-2016 21:35,20,07-12-2016,Evening
584,Airport,64,Trip Completed,07-11-2016 11:14,07-11-2016 12:25,11,07-11-2016,Afternoon
1741,Airport,64,Trip Completed,07-12-2016 08:32,07-12-2016 09:08,8,07-12-2016,Morning
2031,City,64,Trip Completed,07-12-2016 14:17,07-12-2016 14:51,14,07-12-2016,Afternoon
744,City,65,Trip Completed,07-11-2016 15:41,07-11-2016 16:30,15,07-11-2016,Afternoon
1634,Airport,65,Trip Completed,07-12-2016 07:13,07-12-2016 08:04,7,07-12-2016,Morning
1911,Airport,65,Trip Completed,07-12-2016 10:43,07-12-2016 11:41,10,07-12-2016,Afternoon
2608,Airport,65,Trip Completed,07-12-2016 21:59,07-12-2016 22:36,21,07-12-2016,Night
250,Airport,66,Trip Completed,07-11-2016 06:29,07-11-2016 07:34,6,07-11-2016,Morning
781,City,66,Trip Completed,07-11-2016 16:40,07-11-2016 17:41,16,07-11-2016,Afternoon
1681,Airport,66,Trip Completed,07-12-2016 07:53,07-12-2016 08:44,7,07-12-2016,Morning
630,Airport,67,Trip Completed,07-11-2016 12:16,07-11-2016 13:10,12,07-11-2016,Afternoon
679,City,67,Trip Completed,07-11-2016 13:22,07-11-2016 14:17,13,07-11-2016,Afternoon
782,Airport,67,Trip Completed,07-11-2016 16:46,07-11-2016 17:27,16,07-11-2016,Afternoon
1329,Airport,67,Trip Completed,07-11-2016 23:10,07-11-2016 23:45,23,07-11-2016,Night
1712,Airport,67,Trip Completed,07-12-2016 08:14,07-12-2016 09:06,8,07-12-2016,Morning
2033,City,67,Trip Completed,07-12-2016 14:17,07-12-2016 14:59,14,07-12-2016,Afternoon
1480,Airport,68,Trip Completed,07-12-2016 05:15,07-12-2016 06:06,5,07-12-2016,Morning
2013,City,68,Trip Completed,07-12-2016 13:35,07-12-2016 14:29,13,07-12-2016,Afternoon
93,City,69,Trip Completed,07-11-2016 04:53,07-11-2016 05:30,4,07-11-2016,Late Night
402,Airport,69,Trip Completed,07-11-2016 08:31,07-11-2016 09:02,8,07-11-2016,Morning
582,City,69,Trip Completed,07-11-2016 10:56,07-11-2016 11:59,10,07-11-2016,Afternoon
733,City,69,Trip Completed,07-11-2016 15:25,07-11-2016 16:30,15,07-11-2016,Afternoon
951,Airport,69,Trip Completed,07-11-2016 18:38,07-11-2016 19:10,18,07-11-2016,Evening
1889,City,69,Trip Completed,07-12-2016 10:14,07-12-2016 11:18,10,07-12-2016,Afternoon
2046,Airport,69,Trip Completed,07-12-2016 14:40,07-12-2016 15:22,14,07-12-2016,Afternoon
2664,Airport,69,Trip Completed,07-12-2016 23:26,13-07-2016 00:01,23,07-12-2016,Night
514,City,70,Trip Completed,07-11-2016 09:45,07-11-2016 10:56,9,07-11-2016,Morning
703,City,70,Trip Completed,07-11-2016 14:11,07-11-2016 14:44,14,07-11-2016,Afternoon
947,City,70,Trip Completed,07-11-2016 18:37,07-11-2016 19:04,18,07-11-2016,Evening
2252,City,70,Trip Completed,07-12-2016 18:26,07-12-2016 19:00,18,07-12-2016,Evening
467,City,71,Trip Completed,07-11-2016 09:20,07-11-2016 10:17,9,07-11-2016,Morning
615,City,71,Trip Completed,07-11-2016 11:54,07-11-2016 12:43,11,07-11-2016,Afternoon
801,Airport,71,Trip Completed,07-11-2016 17:11,07-11-2016 18:24,17,07-11-2016,Evening
1587,Airport,71,Trip Completed,07-12-2016 06:31,07-12-2016 07:42,6,07-12-2016,Morning
1925,City,71,Trip Completed,07-12-2016 11:06,07-12-2016 11:51,11,07-12-2016,Afternoon
2527,City,71,Trip Completed,07-12-2016 21:11,07-12-2016 21:53,21,07-12-2016,Night
160,Airport,72,Trip Completed,07-11-2016 05:38,07-11-2016 06:34,5,07-11-2016,Morning
2029,City,72,Trip Completed,07-12-2016 14:16,07-12-2016 15:09,14,07-12-2016,Afternoon
2543,City,72,Trip Completed,07-12-2016 21:16,07-12-2016 21:53,21,07-12-2016,Night
81,Airport,73,Trip Completed,07-11-2016 04:47,07-11-2016 06:00,4,07-11-2016,Late Night
370,City,73,Trip Completed,07-11-2016 08:06,07-11-2016 08:32,8,07-11-2016,Morning
799,Airport,73,Trip Completed,07-11-2016 17:07,07-11-2016 17:53,17,07-11-2016,Evening
1300,City,73,Trip Completed,07-11-2016 22:31,07-11-2016 22:56,22,07-11-2016,Night
1805,Airport,73,Trip Completed,07-12-2016 09:11,07-12-2016 10:03,9,07-12-2016,Morning
2410,City,73,Trip Completed,07-12-2016 20:05,07-12-2016 20:59,20,07-12-2016,Evening
285,City,74,Trip Completed,07-11-2016 07:02,07-11-2016 07:40,7,07-11-2016,Morning
754,City,74,Trip Completed,07-11-2016 16:06,07-11-2016 16:53,16,07-11-2016,Afternoon
